channel_title,channel_id,video_publish_date,video_title,video_description,video_category,video_view_count,video_comment_count,video_like_count,video_dislike_count,video_thumbnail,video_tags,collection_date,day,day_published,publish_date
HangTime,UCdIFTflafikgEEUuKZia3jQ,1694801784.0,Taylor Swift is dating Travis Kelce! #shorts #nfl #taylorswift,,24,143406,49,6726,,https://i.ytimg.com/vi/LdhKLE96XS4/hqdefault.jpg,,2023-11-28 17:17:59.780450,4,2023-09-15,2023-09-15 18:16:24
New York Post Sports,UCR7hOJFBzhEpgwBL_HJVteA,1694802610.0,👀👄 Jason Kelce speaks on Travis Kelce-Taylor Swift dating rumors | #shorts | NYP Sports,"Tony Gonzalez tried his best to get the scoop on the Travis Kelce-Taylor Swift dating rumors.

After the Eagles’ 34-28 win over the Vikings on “Thursday Night Football,” Gonzalez, a Hall of Fame tight end and now an analyst on the pregame, halftime and postgame shows, asked Jason Kelce about his brother’s dating life.

Earlier in the week, a report from The Messenger emerged that Travis was “quietly hanging out” with the “Blank Space” singer.

#shorts #viralshorts #viralvideos #footballshorts #nfl #football #eagles #chiefs #traviskelce #jasonkelce #taylorswift #espn #richardsherman

Subscribe and don't miss out on all the key news, highlights, and interviews about the Yankees, Mets, Giants, Jets, Knicks, Nets, Rangers, Devils, Islanders and what's buzzing in the sports world too!

Catch the latest news here: https://nypost.com/sports/
Follow The New York Post Sports on:
Twitter - https://twitter.com/nypostsports
Facebook - https://www.facebook.com/nypostsports/",17,118696,23,2630,,https://i.ytimg.com/vi/YlhE3py9HrE/hqdefault.jpg,new york post sports|new york post|nyp|nyp sports|sports|sports highlights|highlights|nypost|ny post|us news|stories|breaking news|news|ny post sports|nyc|nyc sports|sports news|nfl|football|philadelphia eagles|kansas city chiefs|monday night football|espn|minnesota vikings|jason kelce|travis kelce|jalen hurts|taylor swift|mnf|tmz|shorts|viral shorts|viral videos|football shorts,2023-11-28 17:17:59.780450,4,2023-09-15,2023-09-15 18:30:10
ESPN,UCiWLfSweyRNmLpgEHekhoAg,1694814680.0,Did Jason Kelce CONFIRM Travis Kelce and Taylor Swift are an ITEM? 🥰#shorts,"✔️ Subscribe to ESPN+ http://espnplus.com/youtube
✔️ Get the ESPN App: http://www.espn.com/espn/apps/espn
✔️ Subscribe to ESPN on YouTube: http://es.pn/SUBSCRIBEtoYOUTUBE
✔️ Subscribe to NBA on ESPN on YouTube: http://bit.ly/SUBSCRIBEtoNBAonESPN
✔️ Watch ESPN on YouTube TV: http://es.pn/YouTubeTV",17,76123,69,2063,,https://i.ytimg.com/vi/3UZvxkEhPEU/hqdefault.jpg,espn|sports,2023-11-28 17:17:59.780450,4,2023-09-15,2023-09-15 21:51:20
DailySportsDosage,UC_4MHQy18oruEu_F6GiOQ_Q,1694822400.0,Travis Kelce And Taylor Swift Are DATING? #shorts,,17,52860,44,2007,,https://i.ytimg.com/vi/1Zzxst94SQ4/hqdefault.jpg,,2023-11-28 17:17:59.780450,4,2023-09-15,2023-09-16 00:00:00
E! News,UCjDsbbzHgTrGc4Ff26TJtsA,1694811406.0,Jason Kelce Addresses Taylor Swift and Travis Kelce Dating Rumors | E! News,"After rumors started swirling that Taylor Swift and Kansas City Chiefs player Travis Kelce are dating, his brother and fellow NFL star Jason Kelce is addressing the speculation! Jason does his best to stay tight-lipped about Travis' love life during a post-game interview on TNF Nightcap.

Full Story: https://www.eonline.com/news/1385625/are-taylor-swift-and-travis-kelce-dating-his-brother-jason-kelce-says?source=youtube&medium=enews

#TaylorSwift #TravisKelce #JasonKelce #ENews

Subscribe: http://bit.ly/enewssub

About E! News:
The E! News team brings you the latest breaking entertainment, fashion and Pop Culture news. Featuring exclusive segments, celebrity highlights, trend reports and more, the E! News channel is the only destination Pop Culture fans need to stay in the know.

Download The E! News App For The Latest Celebrity News and Trending Videos: https://eonline.onelink.me/yMtl/4ead5017

Your favorite shows, movies and more are here. Stream now on Peacock. https://bit.ly/PeacockEEnt

Connect with E! News:
Visit the E! News WEBSITE: http://eonli.ne/enews
Like E! News on FACEBOOK: https://www.facebook.com/enews/
Check out E! News on INSTAGRAM: https://www.instagram.com/enews/
Follow E! News on TWITTER: https://twitter.com/enews

Jason Kelce Addresses Taylor Swift and Travis Kelce Dating Rumors | E! News
http://www.youtube.com/user/enews",24,32483,65,171,,https://i.ytimg.com/vi/_FhUlzQYRd4/hqdefault.jpg,E! News Now|CATCHING KELCE|CATCHING_KELCE|COUPLES|NFL|PARTNER AMAZON|RUMORS|TAYLOR SWIFT|TAYLOR_SWIFT|TOP STORIES|TRAVIS KELCE|TRAVIS_KELCE|WOCHIT|E! NEWS NOW|CELEBRITIES|ENTERTAINMENT|NEWS|TOP_STORIES|celebrity|entertainment|Celebrity News|Newest Celebrity News|E! News|E! Entertainment|News|E!|Top Stories|Pop Culture|Breaking News|Breaking|Live|Gossip|Hollywood|Entertainment|Celebrity|Latest Celebrity News|Entertainment News|Recent News|Celebrity Stories,2023-11-28 17:17:59.780450,4,2023-09-15,2023-09-15 20:56:46
OutKick,UCtc2KycB2DarenRrJCA55bQ,1694825556.0,Travis Kelce and Taylor Swift are secretly DATING?!,#outkick #shortsfeed #shortsvideo #shortsviral #viralyoutubevideo #shortsyoutube #youtubeshorts #sports #nfl #traviskelce #taylorswift,17,20464,21,479,,https://i.ytimg.com/vi/25vcFXFi0LA/hqdefault.jpg,Taylor swift|Travis kelce|Nfl|Dating rumors|Swifties,2023-11-28 17:17:59.780450,4,2023-09-15,2023-09-16 00:52:36
Access Hollywood,UCiKGMZZmZXK-RpbKJGXgH3Q,1694827840.0,Are Taylor Swift & Travis Kelce Dating?,"Are Taylor Swift and Travis Kelce dating? Neither the music icon nor the football player is saying anything about the chatter, but that's not stopping people from asking. Travis recently dodged questions about Taylor during an NFL+ interview after he previously admitted to his brother Jason on their podcast ""New Heights"" that he tried to give her his phone number on a friendship bracelet during her Eras Tour stop in Kansas City. Travis kept it coy in his response when asked about the moment, playfully replying: ""I said what I said. And I meant what I said when I said it. And you know what, it is what it is. I'm not gonna talk about my personal life. I know what you writers wanna hear, and you wanna hear more about that and I'm not gonna give you anything."" The 33-year-old singer is presumably single at the moment but she was in a relationship with Joe Alwyn for six years until they split up in April. Taylor then dated the 1975's Matty Healy briefly until they parted ways in June.",24,12798,44,160,,https://i.ytimg.com/vi/ianpGHGh5h8/hqdefault.jpg,Taylor Swift|Travis Kelce|dating|relationship|gossip|rumors|celebrity|lifestyle|news,2023-11-28 17:17:59.780450,4,2023-09-15,2023-09-16 01:30:40
Red Tribe Cinema,UCyPextw4hQiW7I393VQdPCg,1694832984.0,Shake It Off | Taylor Swift | Feat. Travis Kelce,I'm just gonna shake shake shake,17,11338,5,102,,https://i.ytimg.com/vi/KqKWegCWuZQ/hqdefault.jpg,Kansas City Chiefs,2023-11-28 17:17:59.780450,4,2023-09-15,2023-09-16 02:56:24
Rob Has a Podcast,UCo-cYYMN4rUc5zk2Kr5GTTg,1694839543.0,The Taylor Swift and Travis Kelce rumors EXPLAINED! Mess Magnets #RHAP,"🪩 Listen to Mess Magnets at https://robhasawebsite.com/shows/reality-tv-rhapups/mess/

🎧 Subscribe to RHAP in podcast form: http://robhasawebsite.com/subscribe
🎬 Subscribe to Reality TV RHAP-ups in podcast form: http://robhasawebsite.com/RHAPupsfeed

⭐ Become a Patron & Support RHAP:  http://robhasawebsite.com/patreon
💻Website: http://RobHasAwebsite.com
🍎 Subscribe to the Podcast:  http://robhasawebsite.com/itunes
🟣 Follow us on Twitch:  http://twitch.tv/rhap
🐦Follow us on Twitter: @RobHasAPodcast @RobCesternino
⌚ Check us out on TikTok: @RobHasAPodcast",24,10162,7,412,,https://i.ytimg.com/vi/2iHwF-VnWO8/hqdefault.jpg,rhap|rob has a podcast|reality tv,2023-11-28 17:17:59.780450,4,2023-09-15,2023-09-16 04:45:43
The Casual Fan,UCPsdZSZPdftds5s-puEX8DA,1694819538.0,this is also the guy dating taylor swift right now #traviskelce,,17,8884,4,231,,https://i.ytimg.com/vi/dxSe9JHgjYg/hqdefault.jpg,,2023-11-28 17:17:59.780450,4,2023-09-15,2023-09-15 23:12:18
